,Sex,Single Year of Age,VALUE
4256,Male,30,30858
4257,Male,30,367
4258,Male,30,6163
4259,Male,30,1511
4260,Male,30,1888
4261,Male,30,1819
4262,Male,30,1372
4263,Male,30,513
4264,Male,30,470
4265,Male,30,263
4266,Male,30,769
4267,Male,30,1097
4268,Male,30,447
4269,Male,30,523
4270,Male,30,877
4271,Male,30,688
4272,Male,30,582
4273,Male,30,1703
4274,Male,30,1672
4275,Male,30,792
4276,Male,30,1250
4277,Male,30,827
4278,Male,30,719
4279,Male,30,677
4280,Male,30,813
4281,Male,30,164
4282,Male,30,657
4283,Male,30,315
4284,Male,30,334
4285,Male,30,416
4286,Male,30,788
4287,Male,30,382
4288,Male,31,32237
4289,Male,31,349
4290,Male,31,6287
4291,Male,31,1510
4292,Male,31,2061
4293,Male,31,1898
4294,Male,31,1396
4295,Male,31,599
4296,Male,31,509
4297,Male,31,232
4298,Male,31,796
4299,Male,31,1252
4300,Male,31,443
4301,Male,31,602
4302,Male,31,945
4303,Male,31,783
4304,Male,31,623
4305,Male,31,1767
4306,Male,31,1725
4307,Male,31,772
4308,Male,31,1205
4309,Male,31,867
4310,Male,31,712
4311,Male,31,759
4312,Male,31,958
4313,Male,31,155
4314,Male,31,719
4315,Male,31,343
4316,Male,31,334
4317,Male,31,450
4318,Male,31,831
4319,Male,31,355
4320,Male,32,32413
4321,Male,32,362
4322,Male,32,6080
4323,Male,32,1516
4324,Male,32,2088
4325,Male,32,1887
4326,Male,32,1462
4327,Male,32,578
4328,Male,32,559
4329,Male,32,267
4330,Male,32,782
4331,Male,32,1254
4332,Male,32,447
4333,Male,32,562
4334,Male,32,906
4335,Male,32,827
4336,Male,32,642
4337,Male,32,1727
4338,Male,32,1791
4339,Male,32,854
4340,Male,32,1316
4341,Male,32,867
4342,Male,32,771
4343,Male,32,655
4344,Male,32,907
4345,Male,32,163
4346,Male,32,667
4347,Male,32,381
4348,Male,32,361
4349,Male,32,466
4350,Male,32,927
4351,Male,32,341
4352,Male,33,31888
4353,Male,33,366
4354,Male,33,5734
4355,Male,33,1442
4356,Male,33,2157
4357,Male,33,1895
4358,Male,33,1522
4359,Male,33,563
4360,Male,33,538
4361,Male,33,261
4362,Male,33,814
4363,Male,33,1253
4364,Male,33,444
4365,Male,33,582
4366,Male,33,821
4367,Male,33,837
4368,Male,33,643
4369,Male,33,1633
4370,Male,33,1910
4371,Male,33,755
4372,Male,33,1310
4373,Male,33,884
4374,Male,33,686
4375,Male,33,594
4376,Male,33,996
4377,Male,33,173
4378,Male,33,761
4379,Male,33,359
4380,Male,33,321
4381,Male,33,466
4382,Male,33,868
4383,Male,33,300
4384,Male,34,33121
4385,Male,34,360
4386,Male,34,5503
4387,Male,34,1488
4388,Male,34,2188
4389,Male,34,2040
4390,Male,34,1563
4391,Male,34,594
4392,Male,34,548
4393,Male,34,291
4394,Male,34,890
4395,Male,34,1350
4396,Male,34,503
4397,Male,34,575
4398,Male,34,961
4399,Male,34,865
4400,Male,34,714
4401,Male,34,1636
4402,Male,34,2038
4403,Male,34,817
