Single Year of Age,Female,Male,Difference
0,56372,59220,2848
1,55090,57750,2660
2,57948,60472,2524
3,58966,62002,3036
4,59638,63372,3734
5,62684,65368,2684
6,65244,68184,2940
7,67144,70858,3714
8,68874,72592,3718
9,70454,73938,3484
10,72132,76070,3938
11,73726,76592,2866
12,74594,77914,3320
13,73564,76948,3384
14,72160,74704,2544
15,68984,71896,2912
16,66336,69292,2956
17,66090,69962,3872
18,65704,67800,2096
19,63458,65734,2276
20,63248,64240,992
21,59780,61542,1762
22,61536,62900,1364
23,60102,61742,1640
24,58728,60468,1740
25,58588,59938,1350
26,57728,58752,1024
27,59056,58324,-732
28,59576,57804,-1772
29,61872,59978,-1894
30,65682,61716,-3966
31,67420,64474,-2946
32,68764,64826,-3938
33,68978,63776,-5202
34,72568,66242,-6326
35,75880,69390,-6490
36,78060,71656,-6404
37,78386,72854,-5532
38,81804,75026,-6778
39,85184,77498,-7686
40,86286,80602,-5684
41,87392,82802,-4590
42,86674,83288,-3386
43,82816,78550,-4266
44,78758,75880,-2878
45,77012,75420,-1592
46,76254,74578,-1676
47,74942,74106,-836
48,74290,72944,-1346
49,74162,73300,-862
50,72398,72100,-298
51,70050,69852,-198
52,68828,68712,-116
53,64408,65222,814
54,64336,64100,-236
55,63126,62706,-420
56,62558,61368,-1190
57,63528,61782,-1746
58,61320,59550,-1770
59,60000,58392,-1608
60,58126,56910,-1216
61,57712,55698,-2014
62,55798,54232,-1566
63,52624,51768,-856
64,52218,50254,-1964
65,50366,49800,-566
66,49324,47518,-1806
67,49048,47254,-1794
68,46036,45004,-1032
69,46750,45188,-1562
70,43794,42506,-1288
71,42472,40898,-1574
72,42318,39930,-2388
73,40268,38242,-2026
74,38354,36986,-1368
75,36588,34946,-1642
76,35330,32188,-3142
77,31942,29202,-2740
78,29332,26784,-2548
79,27876,24332,-3544
80,24346,21348,-2998
81,22382,18940,-3442
82,21518,17558,-3960
83,19970,15800,-4170
84,17780,13530,-4250
85,16606,12308,-4298
86,15002,10740,-4262
87,13532,9030,-4502
88,11854,7542,-4312
89,9922,6072,-3850
90,8570,4888,-3682
91,7562,3900,-3662
92,5618,2594,-3024
93,4640,1874,-2766
94,3474,1436,-2038
95,2688,964,-1724
96,1912,654,-1258
97,1464,434,-1030
98,984,260,-724
99,672,210,-462
100,1168,308,-860
