cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,2010,2011,2012,2013,2013/t3,2013/t4,2014,2014/t1,2014/t2,2014/t3,2014/t4,2015,2015/t1,2015/t2,2015/t3,2015/t4,2016,2016/t1,2016/t2,2016/t3,2016/t4,2017,2017/t1,2017/t2,2017/t3,2017/t4,2018,2018/t1,2018/t2,2018/t3,2018/t4,2019,2019/t1,2019/t2,2019/t3,2019/t4,2020,2020/t1,2020/t3,2020/t4,2021,2021/t1,2021/t2,2021/t3,2021/t4,2022,2022/t1,2022/t2,2022/t3,2022/t4,2023,2023/t1,2023/t2,2023/t3,2023/t4,2024,2024/t1,2024/t2,2024/t3,2024/t4,2025,2025/t1,2025/t2,unidad_medida
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002198,"Rate of people aged 18 and older who considered unsafe their state, for every hundred thousand inhabitants of 18 years and over",,69536.3430838591,66622.6742168644,72322.456767673,,,73254.528023835,,,,,73208.7386078332,,,,,72350.3544778524,,,,,74293.37998006708,,,,,79390.8849104629,,,,,78923.3152686195,,,,,78575.7463444582,,,,75638.1924809902,,,,,75913.0190426581,,,,,74629.4656162844,,,,,73621.540745404,,,,,75556.0505901199,,,"Cases per 100,000 inhabitants"
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002235,"Rate of economic units that consider their neighborhood or locality as unsafe, per ten thousand economic units",,,5460.45629174883,,,,4723.80732546271,,,,,,,,,,4681.33927430451,,,,,,,,,,5055.16062851227,,,,,,,,,,4705.7445952323,,,,,,,,,3980.16981914457,,,,,,,,,,,,,,,,,,"Cases per 10,000 economic units"
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002237,"Rate of economic units that consider their state as unsafe, per ten thousand economic units",,,7602.82653728816,,,,7003.50364371474,,,,,,,,,,7015.52723127763,,,,,,,,,,7893.16246097144,,,,,,,,,,7547.05258283386,,,,,,,,,6928.67940097953,,,,,,,,,,,,,,,,,,"Cases per 10,000 economic units"
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200002238,"Rate of economic units that consider their municipality or delegation as unsafe, per ten thousand economic units",,,7052.32039980785,,,,6419.53711390979,,,,,,,,,,6433.078800589,,,,,,,,,,7059.33386507837,,,,,,,,,,6553.23318022471,,,,,,,,,5944.5681112048,,,,,,,,,,,,,,,,,,"Cases per 10,000 economic units"
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005815,"Rate of people aged 18 years and over that consider their neighborhood or locality as unsafe, per hundred thousand population aged 18 years and over",,39481.7236429844,38674.1188861193,44011.3611674174,,,45341.6057555258,,,,,44101.17795049,,,,,45386.5108893577,,,,,45986.8988088854,,,,,50060.5008383003,,,,,50576.703345771,,,,,48737.2827584775,,,,41930.1891658331,,,,,42122.3572339197,,,,,39896.6172580891,,,,,40210.7858984066,,,,,40462.9963866884,,,"Cases per 100,000 inhabitants"
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200005816,"Rate of people aged 18 years and over that consider their municipality or delegation as unsafe, per hundred thousand population aged 18 years and over",,60254.0138121026,58072.7725820219,62966.5118632104,,,64159.7233147342,,,,,64131.0252572872,,,,,65127.6883784614,,,,,66289.0614331995,,,,,70012.4491861825,,,,,70450.6157701048,,,,,70347.3428367505,,,,65513.8158540898,,,,,64880.3765876672,,,,,63703.4066233758,,,,,62459.3800777561,,,,,64710.3964287362,,,"Cases per 100,000 inhabitants"
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200028416,Percentage of population aged 18 years and over who consider unsafe their city,,,,,67.9984016376796,68.04026050526807,,72.40379337732637,70.2031948342438,66.9537502333769,67.8619667706296,,67.9420048404757,68.9656715746148,67.9941830341181,67.7455386534419,,69.879963683486,70.0024794892345,71.9368624184183,74.0726561233197,,72.9062172243062,74.8605602448301,76.0186793311556,75.9454400437277,,76.8095316634525,75.8545487171852,74.8687633474647,73.7234659848411,,74.5572970951323,73.8651943455849,71.2865613375507,72.8939890183398,,73.3930410236206,67.7984353560992,68.0639087000886,,66.425788705104,66.558555168288,64.4824908391418,65.8061482095798,,66.2495437845425,67.4349510330883,64.4185399973359,64.2383184517649,,62.0524973282969,62.2999957538042,61.3694417197288,59.1286378269308,,61.0026830741686,59.3506395122924,58.6331430263372,61.731503407796,,61.9019968179226,63.183163570019,Percentage
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200028417,Percentage of depositions of frequent shots,,20.6884605333395,17.1179946129801,18.534586051441348,,,20.6957614512788,,,,,20.6128278534853,,,,,20.8337334202915,,,,,25.124181944434,,,,,30.1046582401259,,,,,33.4707994344567,,,,,32.2328191159069,,,,31.6302573969888,,,,,31.0239842732795,,,,,31.2332425714,,,,,31.6042221409,,,,,34.3574048878,,,Percentage
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200028418,Percentage of depositions of venues invasion,,8.48270219863334,5.93334800853625,8.076629166023954,,,11.1551741733623,,,,,11.7164817793614,,,,,11.0299129717607,,,,,12.6058747357486,,,,,14.0772439829675,,,,,14.850251777228,,,,,14.0208456559761,,,,13.7963890509561,,,,,16.0626204431691,,,,,15.9048203402,,,,,15.5260714863,,,,,18.4471142675,,,Percentage
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200028419,Percentage of depositions of alcohol consumption in the street,,65.5040831038081,62.0756316240193,65.1960625147655,,,64.0771108822985,,,,,64.5463581741329,,,,,63.8245999073898,,,,,63.2907733384792,,,,,66.3957506034507,,,,,65.4482360693375,,,,,64.213121966648,,,,65.4873801148303,,,,,64.6065839485468,,,,,64.3823908551,,,,,63.1413987596,,,,,63.801925304,,,Percentage
